epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9336,1.36301,7.96121,0.01188,0.002,0.58065,0.02122,0.01045,0.964,9.48584,0.00778,0.0008,0.0008,0.0928
2,17.9024,1.14371,5.69704,0.0093,0.00256,0.74194,0.08135,0.02864,0.96059,4.86623,0.00806,0.00169995,0.00169995,0.0847
3,19.7129,1.15316,4.72327,0.00962,0.00289,0.83871,0.13955,0.06586,1.07721,3.9776,0.00941,0.00259972,0.00259972,0.0765997
4,21.4858,1.14648,4.1542,0.00993,0.00278,0.80645,0.3663,0.18963,1.03573,4.0568,0.00893,0.00349915,0.00349915,0.0684991
5,23.1867,1.15878,3.73192,0.00953,0.00289,0.83871,0.33726,0.14141,0.93954,4.07358,0.00821,0.00439809,0.00439809,0.0603981
6,24.9792,1.251,3.23844,0.01077,0.00256,0.74194,0.29398,0.17622,1.1341,4.04294,0.00991,0.0052964,0.0052964,0.0522964
7,26.3735,1.29896,2.88747,0.01072,0.003,0.87097,0.32608,0.17796,1.03736,4.05524,0.00899,0.00619394,0.00619394,0.0441939
8,27.7556,1.28223,2.6763,0.011,0.00344,1,0.33395,0.22131,0.99276,3.9603,0.00854,0.00709056,0.00709056,0.0360906
9,29.2474,1.30497,2.32931,0.01142,0.03592,0.96774,0.77002,0.44912,1.35591,3.30665,0.01202,0.00798611,0.00798611,0.0279861
10,31.0556,1.31101,2.0809,0.01104,0.00333,0.96774,0.71123,0.4108,1.33695,3.69827,0.01207,0.00888045,0.00888045,0.0198804
11,32.8533,1.30939,2.26279,0.01195,0.51868,0.69544,0.6792,0.3938,1.2364,3.15728,0.01037,0.00977343,0.00977343,0.0117734
12,34.6622,1.37,2.21619,0.01176,0.88243,0.22581,0.57666,0.27788,1.56593,3.0942,0.01484,0.0099672,0.0099672,0.0099672
13,36.324,1.28832,2.0262,0.01127,0.79179,0.48387,0.73137,0.46736,1.30025,2.03395,0.01119,0.00996097,0.00996097,0.00996097
14,38.2368,1.34928,2.06318,0.01187,0.73626,0.64516,0.7592,0.48872,1.3344,1.55172,0.01174,0.0099542,0.0099542,0.0099542
15,39.8699,1.36959,1.90742,0.0113,0.58533,0.54839,0.60043,0.38761,1.26301,1.9507,0.01101,0.0099469,0.0099469,0.0099469
16,41.5771,1.37513,1.93951,0.01225,0.70869,0.70968,0.79873,0.5133,1.35425,1.28619,0.01229,0.00993906,0.00993906,0.00993906
17,43.1938,1.28726,1.58899,0.01072,0.70738,0.74194,0.80163,0.50027,1.42343,1.21323,0.0129,0.00993068,0.00993068,0.00993068
18,44.9471,1.31246,1.69218,0.01108,0.69138,0.64516,0.78408,0.35845,1.98701,1.41402,0.01912,0.00992177,0.00992177,0.00992177
19,46.4383,1.34096,1.60591,0.01217,0.65451,0.74194,0.79067,0.285,2.17888,1.49632,0.02155,0.00991232,0.00991232,0.00991232
20,48.0842,1.30194,1.64895,0.01137,0.7424,0.74379,0.83092,0.48151,1.62941,0.95699,0.01593,0.00990234,0.00990234,0.00990234
21,49.683,1.30562,1.50791,0.01069,0.84807,0.67742,0.83584,0.57726,1.18747,0.92718,0.01022,0.00989183,0.00989183,0.00989183
22,51.3311,1.29352,1.52837,0.01145,0.72864,0.87097,0.81817,0.57176,1.13864,1.03692,0.00958,0.00988079,0.00988079,0.00988079
23,52.8029,1.28121,1.4796,0.01085,0.89703,0.74194,0.85931,0.58446,1.19069,0.96362,0.00996,0.00986922,0.00986922,0.00986922
24,54.248,1.3411,1.4993,0.01218,0.89483,0.83871,0.87891,0.47359,1.66909,1.04633,0.01642,0.00985711,0.00985711,0.00985711
